"mineralName","formula","discoveryYear"
"Betpakdalite-NaNa","[Na<sub>2</sub>(H<sub>2</sub>O)<sub>16</sub>Na(H<sub>2</sub>O)<sub>6</sub>][Mo<sub>8</sub>As<sub>2</sub>Fe<sup>3+</sup><sub>3</sub>O<sub>33</sub>(OH)<sub>4</sub>] ","1940"
"Gainesite","Na(Na,K)(Be,Li)Zr<sub>2</sub>(PO<sub>4</sub>)<sub>4</sub>&middot;1.5-2H<sub>2</sub>O","1941"
"Hectorite","Na<sub>0.3</sub>(Mg,Li)<sub>3</sub>(Si<sub>4</sub>O<sub>10</sub>)(F,OH)<sub>2</sub>","1941"
"Bradleyite","Na<sub>3</sub>Mg(CO<sub>3</sub>)(PO<sub>4</sub>)","1941"
"Lomonosovite","Na<sub>5</sub>Ti<sub>2</sub>(Si<sub>2</sub>O<sub>7</sub>)(PO<sub>4</sub>)O<sub>2</sub>","1941"
"Eckermannite","NaNa<sub>2</sub>(Mg<sub>4</sub>Al}Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","1942"
"Sampleite","NaCaCu<sub>5</sub>(PO<sub>4</sub>)<sub>4</sub>Cl&middot;5H<sub>2</sub>O","1942"
"Banalsite","Na<sub>2</sub>BaAl<sub>4</sub>Si<sub>4</sub>O<sub>16</sub>","1944"
"Vernadite","(Mn<sup>4+</sup>,Fe<sup>3+</sup>,Ca,Na)(O,OH)<sub>2</sub>&middot;nH<sub>2</sub>O","1944"
"Brazilianite","NaAl<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>","1945"
"Fersmite","(Ca,Ce,Na)(Nb,Ta,Ti)<sub>2</sub>(O,OH,F)<sub>6</sub>","1946"
